chapter,title,url
68,"朱紫国唐僧论前世　孙行者施为三折肱",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZXV.shtml
69,"心主夜间修药物　君王筵上论妖邪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQAZ.shtml
70,"妖魔宝放烟沙火　悟空计盗紫金铃",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQPW.shtml
71,"行者假名降怪犼　观音现象伏妖王",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQIL.shtml
72,"盘丝洞七情迷本　濯垢泉八戒忘形",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQTB.shtml
73,"情因旧恨生灾毒　心主遭魔幸破光",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQXV.shtml
74,"长庚传报魔头狠　行者施为变化能",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILPWAZ.shtml
75,"心猿钻透阴阳窍　魔王还归大道真",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILPWPW.shtml
76,"心神居舍魔归性　木母同降怪体真",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILPWIL.shtml
77,"群魔欺本性　一体拜真如",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILPWTB.shtml
78,"比丘怜子遣阴神　金殿识魔谈道德",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILPWXV.shtml
79,"寻洞擒妖逢老寿　当朝正主救婴儿",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILKOAZ.shtml
80,"姹女育阳求配偶　心猿护主识妖邪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILKOPW.shtml
81,"镇海寺心猿知怪　黑松林三众寻师",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILKOIL.shtml
82,"姹女求阳　元神护道",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILKOTB.shtml
83,"心猿识得丹头　姹女还归本性",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILKOXV.shtml
84,"难灭伽持圆大觉　法王成正体天然",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILILAZ.shtml
85,"心猿妒木母　魔主计吞禅",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILILPW.shtml
86,"木母助威征怪物　金公施法灭妖邪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILILIL.shtml
87,"凤仙郡冒天止雨　孙大圣劝善施霖",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILILTB.shtml
88,"禅到玉华施法会　心猿木母授门人",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILILXV.shtml
89,"黄狮精虚设钉钯宴　金木土计闹豹头山",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILUYAZ.shtml
90,"师狮授受同归一　盗道缠禅静九灵",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILUYPW.shtml
91,"金平府元夜观灯　玄英洞唐僧供状",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILUYIL.shtml
92,"三僧大战青龙山　四星挟捉犀牛怪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILUYTB.shtml
93,"给孤园问古谈因　天竺国朝王遇偶",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILUYXV.shtml
94,"四僧宴乐御花园　一怪空怀情欲喜",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILTBAZ.shtml
95,"假合真形擒玉兔　真阴归正会灵元",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILTBPW.shtml
96,"寇员外喜待高僧　唐长老不贪富贵",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILTBIL.shtml
97,"金酬外护遭魔蛰 圣显幽魂救本原",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILTBTB.shtml
98,"猿熟马驯方脱壳　功成行满见真如",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILTBXV.shtml
99,"九九数完魔刬尽　三三行满道归根",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILMEAZ.shtml
100,"径回东土　五圣成真",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILMEPW.shtml
